t,empirical_mean,empirical_var,asymptotic_mean,asymptotic_var
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.50000000,0.00400000,0.00398559,0.48419666,0.03596990
1.00000000,0.48920000,0.24998335,0.96839333,0.07193981
1.50000000,0.98080000,0.11807859,1.45258999,0.10790971
2.00000000,1.45880000,0.25800576,1.93678665,0.14387961
2.50000000,1.93760000,0.23540040,2.42098331,0.17984952
3.00000000,2.43320000,0.30245874,2.90517998,0.21581942
3.50000000,2.90400000,0.32531413,3.38937664,0.25178932
4.00000000,3.40240000,0.36542041,3.87357330,0.28775923
4.50000000,3.88960000,0.40157247,4.35776996,0.32372913
5.00000000,4.37120000,0.42878207,4.84196663,0.35969903
5.50000000,4.85200000,0.47428571,5.32616329,0.39566894
6.00000000,5.35240000,0.50681697,5.81035995,0.43163884
6.50000000,5.83080000,0.55919504,6.29455661,0.46760874
7.00000000,6.31680000,0.59027387,6.77875328,0.50357865
7.50000000,6.80320000,0.63032189,7.26294994,0.53954855
8.00000000,7.29440000,0.65278976,7.74714660,0.57551846
8.50000000,7.78080000,0.69142793,8.23134327,0.61148836
9.00000000,8.26280000,0.71002017,8.71553993,0.64745826
9.50000000,8.74160000,0.76153405,9.19973659,0.68342817
10.00000000,9.23000000,0.80382153,9.68393325,0.71939807
10.50000000,9.71160000,0.84156206,10.16812992,0.75536797
11.00000000,10.20960000,0.87961969,10.65232658,0.79133788
11.50000000,10.67400000,0.90408563,11.13652324,0.82730778
12.00000000,11.15920000,0.95583770,11.62071990,0.86327768
12.50000000,11.65240000,0.98876975,12.10491657,0.89924759
13.00000000,12.13280000,1.02437391,12.58911323,0.93521749
13.50000000,12.62000000,1.04641857,13.07330989,0.97118739
14.00000000,13.10280000,1.09587051,13.55750655,1.00715730
14.50000000,13.58760000,1.10836959,14.04170322,1.04312720
15.00000000,14.07920000,1.15338872,14.52589988,1.07909710
15.50000000,14.55440000,1.18271373,15.01009654,1.11506701
16.00000000,15.04200000,1.20231693,15.49429321,1.15103691
16.50000000,15.54080000,1.26884290,15.97848987,1.18700681
17.00000000,16.01760000,1.25459208,16.46268653,1.22297672
17.50000000,16.50920000,1.30803858,16.94688319,1.25894662
18.00000000,17.00280000,1.35613461,17.43107986,1.29491652
18.50000000,17.47800000,1.35325730,17.91527652,1.33088643
19.00000000,17.96400000,1.42167267,18.39947318,1.36685633
19.50000000,18.44360000,1.44579736,18.88366984,1.40282623
20.00000000,18.92040000,1.47865530,19.36786651,1.43879614
