optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.6016089334125643,0.6163138370099681,0.78725,0.788
SGD,2,0.17725034831574749,0.1828538854216889,0.98925,0.986
SGD,3,0.1041732159631146,0.11231893075737479,0.99625,0.992
SGD,4,0.07179874815284464,0.07663838529343879,0.99775,0.997
SGD,5,0.059434861315920504,0.06490737951974568,0.998,0.998
SGD,6,0.05157005644451307,0.058100050575124004,0.99875,0.996
SGD,7,0.03965969879368713,0.044942454103461565,0.9995,0.997
SGD,8,0.035058345179726544,0.04051464947234169,0.99975,0.997
SGD,9,0.0317216572355512,0.03725316362726985,0.99975,0.997
SGD,10,0.029156864743321173,0.03427027964572961,0.99975,0.998
SGD,11,0.027776101436065216,0.03368403510167363,0.99975,0.998
SGD,12,0.026510654122052123,0.03238510400548733,1.0,0.998
NG,1,1.2430849570115732,1.25482478685045,0.7485,0.737
NG,2,0.626484481463544,0.6325488005665888,0.92025,0.923
NG,3,0.372948767099693,0.3821761295508269,0.9785,0.977
NG,4,0.26253867143623466,0.2684109908037693,0.98775,0.983
NG,5,0.19847115029093507,0.20487425329320763,0.991,0.988
NG,6,0.16688066021758968,0.17589439527878445,0.99125,0.989
NG,7,0.1305916637949217,0.1373385092326715,0.99625,0.993
NG,8,0.11090629247361347,0.11742151169174028,0.99675,0.993
NG,9,0.09783080738707682,0.10480692650790985,0.99775,0.994
NG,10,0.0863695664566385,0.09243609467407737,0.99825,0.996
NG,11,0.07860789416529392,0.08575823166070008,0.9985,0.992
NG,12,0.07362991295984753,0.08047869547172617,0.9985,0.996
