optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.6068308195431462,0.6234364004797378,0.82625,0.818
SGD,2,0.4844565418124794,0.5155794832206493,0.856,0.843
SGD,3,0.39253898440934315,0.4396141524499567,0.88425,0.867
SGD,4,0.4190020952510587,0.47071278348743434,0.86575,0.845
SGD,5,0.33839407509894953,0.43314148204425695,0.89525,0.86
SGD,6,0.28889613515354656,0.3618435374789819,0.924,0.893
SGD,7,0.373342726482752,0.44257776068426014,0.8775,0.862
SGD,8,0.24878953719674904,0.3625305916210026,0.92875,0.894
SGD,9,0.23373113785678507,0.3683034277816283,0.9305,0.889
SGD,10,0.21993728834087153,0.34662484407196653,0.9395,0.896
SGD,11,0.22167412139977552,0.371899229479849,0.935,0.887
SGD,12,0.19185328926802625,0.3172399242132945,0.94725,0.907
NG,1,1.0750701920283292,1.0842804245327946,0.7415,0.723
NG,2,0.6998989196447755,0.7045802525339535,0.81425,0.81
NG,3,0.5570677857536417,0.5745070319838191,0.856,0.845
NG,4,0.4860917904167857,0.5140126710388594,0.873,0.849
NG,5,0.4429460360539008,0.4800976196917882,0.88,0.856
NG,6,0.4172118295724569,0.4502097792394796,0.88975,0.865
NG,7,0.4156743516761274,0.44648739529441583,0.88225,0.857
NG,8,0.38302334039830666,0.42956738652335,0.894,0.871
NG,9,0.3541784785483433,0.4207167484933605,0.90025,0.874
NG,10,0.3485620534693007,0.41254011095263826,0.9025,0.871
NG,11,0.3328165208916907,0.4045782556964028,0.9065,0.879
NG,12,0.3145610065230631,0.3854504272420361,0.915,0.882
