optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.3264584783080648,0.3124000386580944,0.9125833333333333,0.9163
SGD,2,0.2642642392341081,0.2582750717789975,0.92895,0.9326
SGD,3,0.22720278326352344,0.22762379635697397,0.94085,0.9412
SGD,4,0.2001700193873398,0.204190512407209,0.9485666666666667,0.9478
SGD,5,0.18190887879583048,0.18705021973691546,0.9529833333333333,0.9491
SGD,6,0.16369711599181724,0.17115999743349397,0.9591333333333333,0.9533
SGD,7,0.15091245982151633,0.1601790761710322,0.96345,0.9586
SGD,8,0.13980057158381987,0.14985328834399494,0.9667,0.9624
SGD,9,0.13321809171766605,0.1429392626500929,0.9689,0.963
SGD,10,0.12544056859939348,0.1378793351809497,0.9713,0.965
SGD,11,0.11655863695015431,0.13098752124202004,0.97385,0.967
SGD,12,0.1110175051085251,0.12634893834614816,0.9755166666666667,0.9689
SGD,13,0.10693181625618164,0.12225964147362497,0.9766833333333333,0.9701
SGD,14,0.1012755866094005,0.11774009088184582,0.9783833333333334,0.9713
SGD,15,0.09684211030442527,0.11615359136223846,0.9800166666666666,0.9714
SGD,16,0.09437558871965418,0.11568365747002031,0.9804333333333334,0.9714
SGD,17,0.09106503709439429,0.11205324614542951,0.9818833333333333,0.9722
SGD,18,0.0885316405418665,0.1097926798949538,0.9821,0.9719
SGD,19,0.08539200194262433,0.1090712309935478,0.9833,0.9736
SGD,20,0.08336850723715458,0.10721148847623833,0.9844833333333334,0.9741
NG,1,0.3516246416839968,0.33542467586500796,0.9051666666666667,0.9097
NG,2,0.2888256396807936,0.2796607694505142,0.9218666666666666,0.9264
NG,3,0.2533322826699872,0.25089745505587807,0.9328666666666666,0.9348
NG,4,0.2274603946095455,0.22929181617650507,0.9407166666666666,0.9419
NG,5,0.20802953978073266,0.21077138394436926,0.94555,0.9432
NG,6,0.1897045774287753,0.19457095950691364,0.9515,0.9478
NG,7,0.1754975724199154,0.18203414602753606,0.95635,0.9534
NG,8,0.1629114008966034,0.17042069882787308,0.9598666666666666,0.9543
NG,9,0.1543615644054993,0.16167941579882392,0.9627166666666667,0.9581
NG,10,0.146051767664394,0.15581980403686704,0.9649666666666666,0.96
NG,11,0.13686179769015158,0.14790922994069364,0.96785,0.9616
NG,12,0.13016037887410345,0.14226495133773462,0.9701666666666666,0.9637
NG,13,0.12535634233158446,0.13711942454024068,0.9712333333333333,0.9657
NG,14,0.1192014065266971,0.13232138344107872,0.9730833333333333,0.9655
NG,15,0.11413724129456491,0.12932019043993043,0.9748,0.9669
NG,16,0.11071417713554074,0.12803608219945106,0.9758,0.9683
NG,17,0.10706626308201442,0.12396424070811095,0.97635,0.9696
NG,18,0.10407398705124025,0.12099319552135666,0.9772333333333333,0.9696
NG,19,0.10036632781632474,0.1196379826096698,0.9786,0.9699
NG,20,0.09757052349150654,0.11693292919165046,0.9797166666666667,0.9717
