optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.5187588665774046,0.5267525182756068,0.8614,0.853
SGD,2,0.4068318095973174,0.4352961398982192,0.8937,0.8835
SGD,3,0.3684161934948279,0.4187647258630774,0.8967,0.879
SGD,4,0.34314364331078634,0.36439394478180187,0.9039,0.8985
SGD,5,0.39269068562719256,0.44404418591726164,0.8702,0.862
SGD,6,0.3082750261101553,0.3688720197769426,0.9174,0.897
SGD,7,0.2500051172245719,0.29583022931152253,0.9373,0.914
SGD,8,0.28112583694849647,0.3253267173411941,0.9176,0.904
SGD,9,0.23923506218657326,0.3091968457884834,0.9422,0.9125
SGD,10,0.217244069157794,0.27753494735166895,0.9465,0.92
SGD,11,0.22257828090722986,0.30152753892263934,0.9436,0.92
SGD,12,0.19280033554724244,0.25899785137000164,0.9526,0.924
SGD,13,0.24411984272269147,0.32490735384603475,0.9338,0.904
SGD,14,0.20157076672808788,0.2937191303784433,0.945,0.9135
SGD,15,0.16887893117011213,0.25864631229181523,0.9586,0.926
SGD,16,0.16276992801065626,0.24311893351262012,0.9616,0.9335
SGD,17,0.1489161042004932,0.24070292855734504,0.9668,0.9315
SGD,18,0.19876636085902147,0.29406799468632105,0.9453,0.913
SGD,19,0.16178545312552398,0.2507337461918889,0.9613,0.936
SGD,20,0.12886067516875502,0.22186069779415776,0.9752,0.9405
SGD,21,0.15840883240156697,0.2419634986181058,0.9609,0.929
SGD,22,0.1342856264593356,0.23451437685163193,0.9703,0.9355
SGD,23,0.11678367116832063,0.21885364737704618,0.9775,0.941
SGD,24,0.11350638882811627,0.21939594305934862,0.9773,0.936
SGD,25,0.11152625902101859,0.21009893255180764,0.9787,0.9405
SGD,26,0.14908558931120913,0.2624088517345877,0.9624,0.923
SGD,27,0.1172030112088787,0.23684436188688726,0.9744,0.929
SGD,28,0.10357936575324957,0.21384765854846433,0.9808,0.9375
SGD,29,0.1406506830045847,0.25737579956390627,0.9636,0.9255
SGD,30,0.0888321103571506,0.19917269038498256,0.9858,0.9425
NG,1,0.6302928565615128,0.6356923222711098,0.8485,0.846
NG,2,0.4643743789489742,0.4827436502158821,0.8813,0.8805
NG,3,0.4174422549893856,0.45289659311682023,0.8886,0.8755
NG,4,0.37639720523063597,0.3937888286478685,0.9006,0.893
NG,5,0.3859506309513393,0.42425037423111644,0.8823,0.8765
NG,6,0.3342130049126799,0.37614861981689657,0.9112,0.9
NG,7,0.307256246803249,0.3426717819795219,0.9203,0.906
NG,8,0.30876261327782684,0.3434342551876087,0.9161,0.903
NG,9,0.2899959135360651,0.34204801096552057,0.9269,0.906
NG,10,0.271697933140035,0.31677272337681006,0.9291,0.91
NG,11,0.2693863431500114,0.32896429725046505,0.9307,0.909
NG,12,0.24673076497272228,0.29861624536921544,0.9386,0.916
NG,13,0.2636091075310083,0.3243575553206939,0.9302,0.902
NG,14,0.2516587487322373,0.3213488773360682,0.9316,0.906
NG,15,0.22547163207044982,0.2950256168111828,0.9418,0.917
NG,16,0.21785457643395292,0.27955433924095646,0.9461,0.923
NG,17,0.20827164364810447,0.2769698686229956,0.9496,0.9235
NG,18,0.22727987036095978,0.2975231182913013,0.9389,0.911
NG,19,0.20593372671413226,0.2740093243201122,0.9504,0.9255
NG,20,0.1896782327662323,0.2600086377207688,0.9548,0.927
NG,21,0.21396207904722814,0.2826661759888664,0.9458,0.921
NG,22,0.20190355426866832,0.28052896781684916,0.9499,0.9245
NG,23,0.175796239633288,0.2558277160671193,0.9592,0.934
NG,24,0.17237688960530212,0.2577148901620869,0.9582,0.928
NG,25,0.16597257090433198,0.24133021982871106,0.9624,0.9315
NG,26,0.1929062505179526,0.28144737064723435,0.9512,0.917
NG,27,0.16099100490269758,0.2545083401767652,0.9628,0.9265
NG,28,0.16225551433355473,0.25371472950123397,0.9634,0.927
NG,29,0.17352646606754163,0.26706649545388506,0.957,0.926
NG,30,0.14244293422582624,0.2316017742883605,0.9693,0.9335
