optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.6016089334125643,0.6163138370099683,0.78725,0.788
SGD,2,0.17725034831574754,0.18285388542168893,0.98925,0.986
SGD,3,0.10417321596311462,0.11231893075737481,0.99625,0.992
SGD,4,0.07179874815284464,0.07663838529343879,0.99775,0.997
SGD,5,0.05943486131592049,0.06490737951974568,0.998,0.998
SGD,6,0.05157005644451306,0.05810005057512399,0.99875,0.996
SGD,7,0.03965969879368712,0.04494245410346155,0.9995,0.997
SGD,8,0.035058345179726544,0.04051464947234169,0.99975,0.997
SGD,9,0.0317216572355512,0.03725316362726985,0.99975,0.997
SGD,10,0.029156864743321173,0.03427027964572961,0.99975,0.998
SGD,11,0.02777610143606521,0.033684035101673636,0.99975,0.998
SGD,12,0.02651065412205212,0.032385104005487324,1.0,0.998
NG,1,1.3979225001829476,1.3949431001044015,0.55125,0.556
NG,2,0.6078005507757275,0.6134063423751328,0.9345,0.929
NG,3,0.37819367014941274,0.3854692912006819,0.9775,0.975
NG,4,0.2567930044335935,0.2646685629228463,0.9875,0.986
NG,5,0.19491218728645468,0.20123581603512658,0.99225,0.987
NG,6,0.1568068452944545,0.16366832484883875,0.9945,0.988
NG,7,0.1312146489860866,0.1377070557808768,0.9975,0.992
NG,8,0.11417251784986046,0.1202223165518118,0.9975,0.994
NG,9,0.09733132214772743,0.10441779737681238,0.99775,0.993
NG,10,0.0885180696281391,0.09479458311882846,0.9975,0.996
NG,11,0.07789673543704147,0.08397851230377279,0.9985,0.995
NG,12,0.07074983058390111,0.07685344651143601,0.9985,0.997
