optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.6016089334125643,0.6163138370099683,0.78725,0.788
SGD,2,0.17725034831574754,0.18285388542168893,0.98925,0.986
SGD,3,0.10417321596311462,0.11231893075737481,0.99625,0.992
SGD,4,0.07179874815284464,0.07663838529343879,0.99775,0.997
SGD,5,0.05943486131592049,0.06490737951974568,0.998,0.998
SGD,6,0.05157005644451306,0.05810005057512399,0.99875,0.996
SGD,7,0.03965969879368712,0.04494245410346155,0.9995,0.997
SGD,8,0.035058345179726544,0.04051464947234169,0.99975,0.997
SGD,9,0.0317216572355512,0.03725316362726985,0.99975,0.997
SGD,10,0.029156864743321173,0.03427027964572961,0.99975,0.998
SGD,11,0.02777610143606521,0.033684035101673636,0.99975,0.998
SGD,12,0.02651065412205212,0.032385104005487324,1.0,0.998
NG,1,1.6193508282909483,1.6162959001112007,0.551,0.552
NG,2,0.9661994233768342,0.971428028154298,0.875,0.878
NG,3,0.6431010362817218,0.6513550311206778,0.942,0.94
NG,4,0.45402860954968355,0.4619105993803857,0.97525,0.97
NG,5,0.3473125072404073,0.3539398118225707,0.98375,0.981
NG,6,0.27836092292981607,0.2852699262179585,0.98725,0.984
NG,7,0.22949716966553024,0.23610314063426985,0.99075,0.986
NG,8,0.1968464979035677,0.20295008768851566,0.993,0.989
NG,9,0.16909135738208206,0.176983565654025,0.99375,0.989
NG,10,0.1515024639888552,0.15856309259931958,0.9945,0.991
NG,11,0.13312468640091984,0.13931098326947647,0.9965,0.991
NG,12,0.12016231356042668,0.1268647729034987,0.99625,0.993
